Country,Population_Total,Current_Health_Expenditure_%GDP,GDP_per_Capita,UNDP_Multidim_Poverty_Ratio_%Pop,Poverty_Ratio_SocialLine_%Pop,Population_Rural,Prevalence of HIV total (% of population ages 15-49),"Incidence of tuberculosis (per 100,000 people) ",Diabetes prevalence (% of population ages 20 to 79),Hospital_beds_1000ppl,Physicians_1000ppl,"Death rate, crude (per 1,000 people) [SP.DYN.CDRT.IN]",Rural land area (sq. km) [AG.LND.TOTL.RU.K2],Surface area (sq. km) [AG.SRF.TOTL.K2]
French Polynesia,272252.4762,..,21931.18675,..,..,107536.7143,..,22.52380952,16.9,..,..,3.1202,3984.443843,3471
Gabon,1915904.095,2.933351829,7692.224918,15.6,26.75,243538.9524,4,547.3809524,7.9,2.89,0.457828571,8.0169,263337.7103,267670
"Gambia, The",2113864.762,4.132538331,690.0482551,41.7,40.95,879443.0952,1.805,172,1.95,1.034444444,0.098363636,8.59025,10197.83849,11300
Georgia,3780038.857,7.933,3943.010288,0.3,30.235,1637912.762,0.195,115.6666667,4.25,3.842777778,5.105,12.6529,68068.72537,69700
Germany,82209851.71,11.12894034,44291.54316,..,10.93888889,18959086.95,0.1,6.352380952,6.1,8.248888889,3.908210526,10.91,316383.4801,357314
Ghana,27449685.81,3.916908603,1579.339022,24.6,42.23333333,12832511.57,1.925,169.3333333,3.8,0.75125,0.106333333,8.2501,227830.2993,238538.6
Gibraltar,32747.61905,..,..,..,..,0,..,..,..,..,..,8.09575,0.04744059,10
Greece,10865207.9,8.623236807,22332.7167,..,17.74736842,2470947.524,0.155,5.157142857,5.75,4.514705882,5.8465625,10.74,128795.9109,131960
Greenland,56535.2381,..,44988.35503,..,..,8313,..,150.2857143,3.3,..,..,8.445,315961.3547,410450
Grenada,113273.619,5.206825106,8081.951869,..,18.8,72341.38095,..,3.020952381,10.6,3.367692293,0.94,7.50755,291.3748994,340
Guam,164705.7619,..,31953.8835,..,..,9323,..,46,13.85,..,..,5.4849,466.8133246,540
Guatemala,15368006.76,6.169551724,3510.418896,28.9,33,7731157.238,0.295,27.71428571,11.2,0.565,0.70925,5.4057,105527.1242,108890
Guinea,11355793.38,4.057360837,814.2916512,66.2,41.73333333,7387051.381,1.635,186.5238095,3.25,0.3,0.127333333,11.2996,244205.7532,245860
Guinea-Bissau,1709993.286,6.434563135,667.2952505,64.4,48.86666667,996546.7143,3.565,359.7142857,2.55,0.85,0.134333333,10.6157,33293.4172,36130
Guyana,772185.1905,4.196538121,6167.413372,1.8,..,564070.5238,1.38,95.0952381,14.2,2.026428571,1.028,7.68975,209904.1444,214970
Haiti,10226887.76,4.102177909,1262.361463,41.3,41.8,5024909.476,1.765,211.2857143,7.75,3.23,0.174,9.09625,25688.0683,27750
Honduras,8887120,8.015170374,2084.924914,12,35.91764706,4062541.524,0.39,42.71428571,5.9,0.603157895,0.4044,4.5101,110411.1556,112490
"Hong Kong SAR, China",7163985.714,..,38294.74006,..,..,0,..,74.80952381,7.7,..,..,6.215,591.1958519,1103.736842
Hungary,9897701.81,7.256842105,14367.019,..,14.61111111,3012544.476,..,12.95714286,6.5,7.214210526,3.144210526,13.41,87565.24504,93030
Iceland,332180.1905,8.6245,58253.49624,..,7.593333333,21280.42857,0.1,3.604761905,4.35,3.42394,3.676294118,6.39,88792.01078,103000
India,1289123770,3.452631579,1487.062035,16.4,37.51,871947246.9,0.305,252,9.3,1.640555554,0.7025,7.4569,2956471.266,3287260
Indonesia,254726192.3,2.829826406,3082.968832,3.6,33.05714286,122094823.1,0.315,341.9047619,7.85,0.902631579,0.3476,7.7726,1820838.066,1912981.514
"Iran, Islamic Rep.",80421579.05,6.082438895,4870.444621,..,21.06,22222793.43,0.1,15.57142857,10.1,1.710588235,1.064,5.1075,1601053.354,1745150
Iraq,35175083.57,3.599363903,4441.51616,8.6,15.75,10577102.62,0.1,38.28571429,9.9,1.223684211,0.737,5.6176,434269.6068,436069.8
Ireland,4643031.381,8.169644046,66564.53919,..,11.34736842,1752304.762,0.163157895,8.5,4.1,3.663888889,3.555947368,6.505,67698.15848,70280
Isle of Man,82775.52381,..,70635.62348,..,..,39456.57143,..,..,6.3,1.646139087,1.449,10.3608,538.4579341,570
