Country,Population_Total,Current_Health_Expenditure_%GDP,GDP_per_Capita,UNDP_Multidim_Poverty_Ratio_%Pop,Poverty_Ratio_SocialLine_%Pop,Population_Rural,Prevalence of HIV total (% of population ages 15-49),"Incidence of tuberculosis (per 100,000 people) ",Diabetes prevalence (% of population ages 20 to 79),Hospital_beds_1000ppl,Physicians_1000ppl,"Death rate, crude (per 1,000 people) [SP.DYN.CDRT.IN]",Rural land area (sq. km) [AG.LND.TOTL.RU.K2],Surface area (sq. km) [AG.SRF.TOTL.K2]
Turkiye,76407286.76,4.683157895,9879.268667,..,21.94,20945003.9,..,22.19047619,11.2,2.646666667,1.687555556,5.34025,754924.702,785350
Turkmenistan,6014850.286,4.680823804,5001.805236,0.2,..,3000828.143,..,66.61904762,4.7,4.158947368,2.28925,6.5921,463257.5154,488721.8
Turks and Caicos Islands,34220.28571,..,24992.06601,..,..,2868.380952,..,18.05238095,..,..,..,6.2597,910.9274136,950
Tuvalu,10441.85714,15.19517291,3759.338954,2.1,27,4431.857143,..,219.7142857,19.75,..,1.0668,10.0394,39.09779159,30
Uganda,36244489.76,5.272838818,702.4227647,57.2,50,28365603.48,6.07,210.7142857,3.7,0.74,0.162857143,8.2537,201994.6724,241550
Ukraine,45595335.67,6.918947368,3125.154936,0.2,13.00555556,14228444.71,..,102.7619048,4.25,8.138888889,3.233416667,15.785,569709.5062,603550
United Arab Emirates,7573282.238,3.589794799,44112.01078,..,16.25,1106759.762,0.1,1.448571429,17.6,1.497894737,1.983277778,1.266,77233.34084,98647.9
United Kingdom,64051288.81,9.763402509,43234.43063,..,13.89473684,11446102.52,..,11.63333333,5.75,2.978947368,2.682421053,9.28,218902.7593,243610
United States,314952583.4,16.0682107,55979.98896,..,19.14,58560037.67,0.4,3.833333333,10.05,2.963333333,3.08575,8.5519,8903098.427,9781640
Uruguay,3344364,8.410401746,14018.9084,..,23.065,179461.1905,0.49,28.85714286,7.35,2.049999999,4.77125,9.5986,173706.5677,176220
Uzbekistan,30063667.33,5.218947368,1795.468185,1.7,50.2,14974166.1,..,87.80952381,6.7,4.821578947,2.565916667,4.965,412602.1407,446031.4
Vanuatu,256737.619,3.541446108,2751.688233,..,33.25,193327.5714,..,61.33333333,15.85,3.16,0.144166667,5.8099,12337.56625,12190
"Venezuela, RB",28664299.19,3.181720378,9716.628345,..,33.075,3400355.81,0.525,35.04761905,9.9,0.961818182,1.664,6.1554,899029.2577,912050
Viet Nam,90408248.67,4.632116643,2247.165631,1.9,25.82,60699087.57,0.36,216.3809524,4.65,2.014666667,0.723,6.30765,297626.6621,330983.94
Virgin Islands (U.S.),107540.8571,..,38101.09984,..,..,5445.142857,..,..,12.25,..,..,7.09,273.7444318,350
West Bank and Gaza,4098806.238,..,2789.594057,0.6,18.9625,1017335.381,..,0.923809524,9.2,..,1.971,3.6039,4390.870891,6020.263158
"Yemen, Rep.",29714158.14,5.288947912,887.0500411,48.5,34.45,19513585.71,0.1,56.85714286,7.5,0.638666667,0.303,6.14305,452881.3089,527970
Zambia,15554306.62,5.058898525,1252.39767,47.9,63.06,9087849.429,12.95,445.4285714,8.35,1.966666667,0.139363636,9.01725,740140.2194,752610
Zimbabwe,14069843.05,6.303795893,1289.531294,25.8,43,9438587.714,15.025,356.4761905,5.95,2.081666667,0.1294,11.85475,386236.172,390760
